epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,213.569,0.47588,0.34318,0.84851,0.99044,0.99847,0.995,0.93232,0.31369,0.24369,0.80086,0.000775822,0.000775822,0.000775822
56,217.509,0.47501,0.34085,0.84126,0.98728,0.98925,0.99454,0.93281,0.326,0.25092,0.80207,0.000759318,0.000759318,0.000759318
57,221.202,0.46629,0.33362,0.84453,0.984,0.98707,0.99381,0.91617,0.32906,0.25508,0.80198,0.000742815,0.000742815,0.000742815
58,224.95,0.46633,0.33502,0.83731,0.98475,0.98889,0.995,0.91411,0.34176,0.25483,0.81029,0.000726312,0.000726312,0.000726312
59,228.906,0.48129,0.32945,0.83837,0.98307,0.99586,0.995,0.93472,0.29702,0.23035,0.79719,0.000709809,0.000709809,0.000709809
60,232.719,0.45891,0.32473,0.83737,0.99035,0.98125,0.995,0.94563,0.30218,0.23899,0.79916,0.000693305,0.000693305,0.000693305
61,236.615,0.46229,0.32629,0.83319,0.99058,0.98988,0.995,0.94345,0.31745,0.24065,0.80073,0.000676802,0.000676802,0.000676802
62,240.372,0.45844,0.32032,0.83804,0.98668,0.98985,0.99495,0.94146,0.30682,0.25084,0.80282,0.000660299,0.000660299,0.000660299
63,244.18,0.48803,0.3359,0.85127,0.98774,0.996,0.995,0.92982,0.31639,0.24,0.80253,0.000643795,0.000643795,0.000643795
64,247.962,0.47333,0.325,0.84378,0.99699,0.98503,0.995,0.92865,0.31232,0.23857,0.79951,0.000627292,0.000627292,0.000627292
65,251.671,0.46,0.32666,0.83455,0.9966,0.98462,0.99391,0.92468,0.32838,0.23632,0.79827,0.000610789,0.000610789,0.000610789
66,255.598,0.4561,0.31251,0.83529,0.99791,0.98487,0.99404,0.92477,0.30069,0.22623,0.79731,0.000594286,0.000594286,0.000594286
67,259.378,0.44736,0.31585,0.83514,0.99648,0.98543,0.99446,0.93428,0.29438,0.22189,0.79644,0.000577782,0.000577782,0.000577782
68,263.16,0.44798,0.30714,0.82996,0.99604,0.9902,0.995,0.93204,0.30721,0.22397,0.80013,0.000561279,0.000561279,0.000561279
69,266.925,0.45534,0.31783,0.83841,0.98826,0.99462,0.99427,0.9227,0.31437,0.22956,0.80104,0.000544776,0.000544776,0.000544776
70,270.849,0.43511,0.30184,0.82902,0.98599,0.99384,0.99447,0.92961,0.2892,0.23159,0.79614,0.000528272,0.000528272,0.000528272
71,274.587,0.44257,0.31032,0.83101,0.99227,0.98943,0.9946,0.93519,0.30878,0.23808,0.79621,0.000511769,0.000511769,0.000511769
72,278.41,0.44919,0.30854,0.82753,0.99393,0.9892,0.99451,0.93378,0.30069,0.22798,0.79534,0.000495266,0.000495266,0.000495266
73,282.202,0.44606,0.3068,0.83574,0.99176,0.98779,0.99464,0.93469,0.29339,0.23041,0.79633,0.000478762,0.000478762,0.000478762
74,286.158,0.44167,0.30196,0.83893,0.98835,0.98971,0.99495,0.92775,0.31776,0.2266,0.79922,0.000462259,0.000462259,0.000462259
75,289.883,0.42574,0.29348,0.82748,0.99137,0.99462,0.99495,0.92619,0.3006,0.22105,0.79783,0.000445756,0.000445756,0.000445756
76,293.699,0.4409,0.29633,0.83044,0.99348,0.99548,0.995,0.93082,0.30364,0.21172,0.79644,0.000429253,0.000429253,0.000429253
77,297.456,0.42473,0.29661,0.83392,0.99528,0.98851,0.99489,0.93886,0.29241,0.21493,0.79525,0.000412749,0.000412749,0.000412749
78,301.199,0.42654,0.29063,0.83376,0.99564,0.98944,0.99456,0.937,0.28834,0.20576,0.79358,0.000396246,0.000396246,0.000396246
79,304.888,0.42152,0.29815,0.83555,0.99658,0.98856,0.99317,0.93592,0.29338,0.21511,0.79321,0.000379743,0.000379743,0.000379743
80,308.688,0.42837,0.29398,0.82524,0.99609,0.98808,0.99398,0.93199,0.28076,0.2122,0.79239,0.000363239,0.000363239,0.000363239
81,312.582,0.4198,0.28523,0.82211,0.99588,0.98873,0.99484,0.93262,0.28671,0.21394,0.79359,0.000346736,0.000346736,0.000346736
82,316.394,0.42372,0.28567,0.82578,0.99525,0.989,0.99385,0.9285,0.28167,0.21725,0.79333,0.000330233,0.000330233,0.000330233
83,320.171,0.41874,0.28933,0.83213,0.99731,0.98925,0.99449,0.93729,0.28248,0.19911,0.79193,0.000313729,0.000313729,0.000313729
84,324.092,0.41841,0.28573,0.82223,0.99599,0.98921,0.9943,0.94209,0.26899,0.19501,0.79038,0.000297226,0.000297226,0.000297226
85,327.83,0.41437,0.28213,0.82125,0.99532,0.9893,0.99474,0.93831,0.28227,0.20442,0.79388,0.000280723,0.000280723,0.000280723
86,331.639,0.41009,0.28212,0.82725,0.9971,0.98956,0.9947,0.93916,0.27716,0.20027,0.79307,0.00026422,0.00026422,0.00026422
87,335.395,0.40711,0.28363,0.82942,0.99656,0.98946,0.99489,0.94726,0.26949,0.19855,0.79238,0.000247716,0.000247716,0.000247716
88,339.155,0.40409,0.27671,0.82598,0.99598,0.98947,0.9947,0.95206,0.26062,0.19578,0.79112,0.000231213,0.000231213,0.000231213
89,343.043,0.39553,0.27249,0.81714,0.99726,0.98937,0.99465,0.95061,0.26539,0.19514,0.79099,0.00021471,0.00021471,0.00021471
90,346.98,0.41255,0.28052,0.83093,0.99665,0.98954,0.99474,0.95658,0.26611,0.1953,0.79201,0.000198206,0.000198206,0.000198206
91,373.496,0.38003,0.25729,0.81191,0.99606,0.98821,0.99413,0.93925,0.27351,0.19832,0.7908,0.000181703,0.000181703,0.000181703
92,377.325,0.36743,0.24873,0.80575,0.99507,0.98817,0.99409,0.94368,0.26323,0.19497,0.78996,0.0001652,0.0001652,0.0001652
93,381.046,0.3689,0.24229,0.80533,0.99569,0.9894,0.99447,0.93881,0.27115,0.1922,0.79057,0.000148696,0.000148696,0.000148696
94,384.875,0.36719,0.2418,0.80412,0.99497,0.98941,0.99465,0.94053,0.27146,0.19436,0.79059,0.000132193,0.000132193,0.000132193
95,388.652,0.36837,0.24456,0.80088,0.99398,0.98827,0.9944,0.94244,0.26498,0.19514,0.79111,0.00011569,0.00011569,0.00011569
96,392.436,0.36473,0.24259,0.80807,0.99385,0.98949,0.99456,0.94143,0.28342,0.19756,0.79371,9.91865e-05,9.91865e-05,9.91865e-05
97,396.459,0.35923,0.23573,0.80098,0.99381,0.98958,0.9946,0.94499,0.26428,0.19133,0.79133,8.26832e-05,8.26832e-05,8.26832e-05
98,400.297,0.36022,0.23166,0.8051,0.99384,0.98969,0.9946,0.94336,0.26171,0.19073,0.79177,6.61799e-05,6.61799e-05,6.61799e-05
99,404.026,0.35614,0.23153,0.80718,0.99348,0.99002,0.99465,0.94418,0.26904,0.19075,0.79214,4.96766e-05,4.96766e-05,4.96766e-05
100,407.828,0.35263,0.232,0.80571,0.99367,0.99,0.995,0.95024,0.26596,0.19127,0.79157,3.31733e-05,3.31733e-05,3.31733e-05
